,,,,,,,,,,,,,,,,,
,Logs ,16th May,,Logs ,17th May,,Logs,18th May,,Logs,21th May,,Logs,22nd May,,Logs,23rd May
,Time,9.45 AM,,Time,9.40 AM,,Time,11.30 AM,,Time,9.20 AM,,Time,9.30 AM,,Time,10.17 AM
,Fut (X),181.25,,Fut (X),182.45,,Fut (X),183,,Fut (X),179.25,,Fut (X),174.1,,Fut (X),178.7
,Fut (y),311.4,,Fut (y),311.65,,Fut (y),309.9,,Fut (y),306.7,,Fut (y),300,,Fut (y),313.5
,Z-Score,-1.825294974,,Z-Score,-2.046194444,,Z-Score,-2.394078042,,Z-Score,-2.023707672,,Z-Score,-1.820003968,,Z-Score,-1.007834656
,,,,,,,,,,,,,,,,,
,Time,10.45 AM,,Time,11:00 AM,,Time,3.00 PM,,Time,11.30 AM,,Time,11.00 AM,,,
,Fut (X),181.8,,Fut (X),184.5,,Fut (X),179.7,,Fut (X),176.25,,Fut (X),174.25,,,
,Fut (y),310.95,,Fut (y),314.7,,Fut (y),309.9,,Fut (y),301.2,,Fut (y),300,,,
,Z-Score,-2.001220899,,Z-Score,-2.076617725,,Z-Score,-2.394078042,,Z-Score,-2.116300265,,Z-Score,-1.85175,,,
,,,,,,,,,,,,,,,,,
,Time,12.20 PM,,Time,12.30 PM,,Time,3.30 PM,,Time,2.00 PM,,Time,12.00 AM,,,
,Fut (X),183,,Fut (X),185.2,,Fut (X),306,,Fut (X),175.75,,Fut (X),172.45,,,
,Fut (y),313.75,,Fut (y),316.7,,Fut (y),181,,Fut (y),299.65,,Fut (y),298.5,,,
,Z-Score,-1.884818783,,Z-Score,-1.960215608,,Z-Score,-2.486670635,,Z-Score,-2.215506614,,Z-Score,-1.669210317,,,
,,,,,,,,,,,,,,,,,
,Time,1.35 PM,,Time,1.45 PM,,,,,Time,3.20 PM,,Time,1.50 PM,,,
,Fut (X),184.35,,Fut (X),185.9,,,,,Fut (X),175.35,,Fut (X),180.75,,,
,Fut (y),315,,Fut (y),318.4,,,,,Fut (y),297.4,,Fut (y),312.4,,,
,Z-Score,-2.005189153,,Z-Score,-1.883496032,,,,,Z-Score,-2.428469577,,Z-Score,-1.587199735,,,
,,,,,,,,,,,,,,,,,
,Time,3.30 PM,,Time,3.30 PM,,,,,,,,Time,3.20 PM,,,
,Fut (X),183,,Fut (X),184.95,,,,,,,,Fut (X),177.9,,,
,Fut (y),311.55,,Fut (y),315.5,,,,,,,,Fut (y),308.8,,,
,Z-Score,-2.175824074,,Z-Score,-2.066035714,,,,,,,,Z-Score,-1.460215608,,,