Position Tracker,,,,,,
,,,,,,
,,,,,,
,Pair Data,,,For Beta Nutrality,,
,Independent Stock (X),Tata Motors DVR,,Lot size of X,2500,
,Dependent Stock (Y),Tata Motors,,Lot size of Y,1500,
,Sector,Auto 4 wheeler,,For 1 lot of Y,2400,
,,,,,,
,Regression Parameters,,,Signal ,,
,Beta,1.6,,Date ,10th May 2018,
,Intercept,35.19923,,Spot of X,198.6,
,Residual,-19.35923,,Spot of Y,333.6,
,Sigma,7.56,,Z-Score,-2.560744709,
,,,,,,
,Trade Executed ,,,Current Values,,
,Date,14th May 2018,,Date ,23rd May 2018,
,Fut (X),194.65,,Fut (X),178.85,
,Fut (y),331.65,,Fut (y),314.65,
,Z-Score,-1.982702381,,Z-Score,-0.8874642857,
,,,,,,
,P&L,,,,,
,Stock,Position,Lot Size,Trade Price,Current Price ,P&L
,Tata Motors (Y),Long,1500,331.65,314.65,-25500
,Tata Motors DVR (X),Short,2500,194.65,178.85,39500
,Total,,,,,14000
,,,,,,
,Instructions: ,,,,,
,1) Initiate the trade when Z-Score is above +2.5 or below -2.5,,,,,
,2) SL is when Z -Score hits +3 or -3,,,,,
,3) Target is +1 or -1,,,,,